DOUBLES (AABC) — HIT LOG (DATE SORTED) — QUALIFIED FAMILIES ONLY
Each row is one AABC hit in a stream. Member is boxkey4 (sorted digits). fixed_rank is 1–78 family stream rank.
Streams used: 76 (excluded: Maryland | Pick 4 Evening, Maryland | Pick 4 Midday) | Qualified families: 56
--------------------------------------------------------------------------------------------------------------------------------------------
DATE       FAM MEM  STREAM                                   FIX 60H 60/WK  90H 90/WK  180H 180/WK 
2023-02-09 167 1677 Connecticut - Play 4 Day                  13 020   2.33 029   2.26  053    2.06
2023-02-09 238 2338 Virginia - Pick 4 Night                   06 019   2.22 030   2.33  047    1.83
2023-02-09 239 2399 Idaho - Pick 4 Day                        45 014   1.63 023   1.79  052    2.02
2023-02-09 246 2446 Georgia - Cash 4 Evening                  70 021   2.45 027   2.10  050    1.94
2023-02-09 246 2246 South Carolina - Pick 4 Midday            18 021   2.45 027   2.10  050    1.94
2023-02-09 257 2557 Arkansas - Cash 4 Midday                  37 012   1.40 021   1.63  052    2.02
2023-02-09 278 2778 Texas - Daily 4 Night                     56 028   3.27 037   2.88  057    2.22
2023-02-09 345 3445 Georgia - Cash 4 Night                    24 019   2.22 028   2.18  051    1.98
2023-02-09 378 3778 Texas - Daily 4 Day                       33 020   2.33 027   2.10  060    2.33
2023-02-09 456 4566 Illinois - Pick 4 Midday                  42 022   2.57 030   2.33  052    2.02
2023-02-09 459 4459 Michigan - Daily 4 Midday                 69 017   1.98 024   1.87  056    2.18
2023-02-09 589 5899 Georgia - Cash 4 Midday                   20 014   1.63 026   2.02  054    2.10
2023-02-09 679 6679 Washington, D.C. - DC-4 7:50pm            32 017   1.98 031   2.41  046    1.79
2023-02-09 789 7899 Mississippi - Cash 4 Evening              71 021   2.45 031   2.41  061    2.37
2023-02-10 018 0118 Québec - Quotidienne 4                    NA 023   2.68 034   2.64  061    2.37
2023-02-10 025 0025 Connecticut - Play 4 Day                  NA 019   2.22 025   1.94  049    1.91
2023-02-10 027 0227 Puerto Rico - Pega 4 Día                  NA 020   2.33 029   2.26  051    1.98
2023-02-10 046 0046 Illinois - Pick 4 Evening                 NA 018   2.10 023   1.79  048    1.87
2023-02-10 059 0599 Florida - Pick 4 Midday                   NA 019   2.22 031   2.41  047    1.83
2023-02-10 059 0599 Georgia - Cash 4 Night                    NA 019   2.22 031   2.41  047    1.83
2023-02-10 068 0688 Ontario - Pick 4 Midday                   NA 023   2.68 037   2.88  057    2.22
2023-02-10 129 1229 Arkansas - Cash 4 Evening                 58 025   2.92 029   2.26  045    1.75
2023-02-10 135 1135 New Jersey - Pick 4 Midday                11 023   2.68 030   2.33  051    1.98
2023-02-10 167 1667 Connecticut - Play 4 Night                18 020   2.33 029   2.26  053    2.06
2023-02-10 167 1677 Mississippi - Cash 4 Midday               67 020   2.33 029   2.26  053    2.06
2023-02-10 249 2499 Atlantic Canada - Lotto 4                 69 021   2.45 033   2.57  060    2.33
2023-02-10 278 2278 Puerto Rico - Pega 4 Noche                02 028   3.27 037   2.88  057    2.22
2023-02-10 348 3488 Wisconsin - Pick 4 Midday                 12 015   1.75 026   2.02  038    1.48
2023-02-10 357 3557 West Virginia - Daily 4                   03 020   2.33 030   2.33  059    2.29
2023-02-10 359 3559 Tri-State (ME, NH & VT) - Pick 4 Day      38 027   3.15 036   2.80  059    2.29
2023-02-10 379 3799 New Mexico - Pick 4 Day                   24 019   2.22 031   2.41  053    2.06
2023-02-10 456 4556 South Carolina - Pick 4 Midday            21 022   2.57 030   2.33  052    2.02
2023-02-11 135 1335 Tennessee - Cash 4 Evening                26 023   2.68 030   2.33  051    1.98
2023-02-11 145 1455 Tennessee - Cash 4 Morning                01 014   1.63 026   2.02  049    1.91
2023-02-11 146 1146 California - Daily 4                      75 018   2.10 025   1.94  055    2.14
2023-02-11 169 1699 Québec - Quotidienne 4                    31 018   2.10 031   2.41  056    2.18
2023-02-11 345 3445 Indiana - Daily 4 Midday                  64 019   2.22 028   2.18  051    1.98
2023-02-11 378 3378 Mississippi - Cash 4 Evening              28 020   2.33 027   2.10  060    2.33
2023-02-11 679 6779 Western Canada - Pick 4                   62 017   1.98 031   2.41  046    1.79
2023-02-12 013 0113 Oregon - Pick 4 7pm                       NA 019   2.22 026   2.02  050    1.94
2023-02-12 018 0188 Delaware - Play 4 Night                   NA 023   2.68 034   2.64  061    2.37
2023-02-12 056 0566 North Carolina - Pick 4 Evening           NA 016   1.87 024   1.87  052    2.02
